AATSC2e,RotBtFrac,MLFER_A,AATSC2s,SHBd,MATS2e,GATS2s,ATSC2e,minHBint2,ATSC2s,ETA_dBetaP,MATS2s,nHBd,minHBint4,HybRatio,AATSC2c,SHsOH,maxHBint4,XLogP,nHBDon,ASP-4,nHsOH,nsOH,minHCsats,maxHBint2,GATS1c,nHBint2,SHBint2,AATS4i,SsOH,ATSC2c,MLFER_S,C1SP2,minHBint3,RDF20m,RDF20s,ATSC3e,nBondsD,nBondsD2,nBondsM,ETA_Beta_ns,SsssCH,minHBint7,MATS6m,MATS6c,nwHBa,minsssCH,ATSC3s,R_TpiPCTPC,SHBint3,AATSC6c,maxHBint7,MATS2m,ndssC,AATSC6m,maxHCsats,SdO,MATS6v,MATS2c,MLFER_BH,MLFER_BO,ETA_BetaP_ns,SHBint7,nHBint7,AATSC6v,ndO,ALogP,nAtomP,SpMax2_Bhs,MATS6e,FNSA-3,GATS2v,AATSC2m,AATSC3c,maxHBint3,RDF10s,ATSC0c,CrippenLogP,MATS8s,nAtomLAC,AATSC6e,SdssC,AATSC6s,ATSC3c,SIC1,maxdO,mindO,RDF20e,MIC1,ATSC2m,GATS1i,minwHBa,mindssC,MATS6s,MATS8c,AATSC0i,MATS5i,MATS3c,GATS2m,AATSC5p,nHBint4,AATS5i,ASP-3,JGI2,SHBint4,GATS1p,MATS5p,AATSC8c,AATSC5i,FPSA-3,AATSC3e,ATSC0e,nHBint3,AATSC5s,nHBDon_Lipinski,nHCsatu,minHCsatu,maxHCsatu,SHCsatu,AATSC8s,GATS5c,E1m,ATSC8c,VE3_Dze,RDF20v,MATS3i,minHBa,AATSC3s,SwHBa,AATSC5c,BIC1,VE3_Dzs,FPSA-2,GATS2p,VR2_Dzs,ATSC1m,VE3_DzZ,VE3_Dzi,SM1_Dzp,VE3_Dzm,minHBd,ATSC1s,GATS2e,RDF15s,SM1_Dze,SM1_Dzv,SM1_Dzs,meanI,RotBFrac,VE3_Dzp,MATS6p,MATS5s,ATSC5c,AATSC5e,maxHBd,MATS3e,ATSC8s,SpMax3_Bhs,ATSC5s,MOMI-YZ,MATS1s,AATS0m,AATS6i,ATSC6c,RPSA,PNSA-3,MATS2v,RDF20i,n6Ring,nT6Ring,Km,RDF20u,AATSC3i,ATSC0s,GATS5e,VR2_Dzv,SpMax1_Bhs,AATS3s,VR2_Dzp,AATS0p,MATS5e,DPSA-3,AATSC1s,VR2_Dze,VR2_Dzm,VR2_DzZ,P1m,AATS5e,AATS3i,minssCH2,WTPT-4,TDB6i,ETA_dEpsilon_D,VR2_Dzi,AATSC6p,ATSC5e,TopoPSA,PetitjeanNumber,nHBa,GATS3i,ATSC4p,BCUTc-1l,SM1_Dzi,TDB6u,AMW,AATSC2v,GATS2i,MATS5c,topoShape,AATS0v,y
-0.038911484,1,0.489,-0.745301628,1.342523148,-0.28581924,1.068733775,-0.679465991,0,-10.64377929,-0.535713333,-0.199541037,1.666666667,0,1,-0.006110343,1.342523148,0,-1.084333333,1.666666667,0.083333333,1.666666667,1.666666667,0.498611111,0,1.414084945,0,0,182.1540431,12.96208333,-0.123145256,0.581333333,0,4.264351852,0.490496653,8.180325375,0.28121772,0,0,0,0,0,0,0.162997054,0.159537097,0,0,3.101360544,1,8.528703707,0.002658046,0,-0.247526657,0,5.207732447,0.533333333,0,0.158693732,-0.204652539,0.589666667,0.570333333,0,0,0,6.70428212,0,-1.122966667,0,4.179406115,0.070879834,-0.071409667,1.227803165,-10.40512799,0.007338792,4.264351852,5.624418773,0.396704505,-0.791033333,0,2,0.004477971,0,0.068216175,0.12708705,0.528010308,0,0,5.801582435,14.91729928,-147.3743369,2.128237325,0,0,0.058584875,0,0.946294975,0.207800518,0.193347928,1.236704474,0.045643736,0,183.8844777,0.416666667,0.101851852,0,1.885513661,0.287751119,0,0.191621576,0.068121968,0.017789473,1.58334367,1.333333333,0.633613001,1.666666667,0,0,0,0,0,0.589370433,0.791872303,0,-10.0525713,1.079657206,-0.055310932,7.87875,0.341139456,0,0.028111697,0.548823169,-10.34153311,0.631896638,1.263422413,1.93916927,-57.85398936,-10.23632214,-9.988006668,-1.976551047,-9.807140389,0.783263889,-8.197898715,1.290569779,5.39829865,0.460912331,-0.771432339,1.133333333,3.285714286,0.333333333,-10.40392244,0.131898321,0.061448867,-0.007887243,0.031004734,0.783263889,0.108281529,0,2.565025734,-4.38494331,2.707726634,-0.256225657,72.62324109,61.63921733,0.023922413,0.339997997,-33.7834534,-0.207964777,7.208041277,0,0,0.534188393,5.162958552,-0.071299685,33.75079365,0.856060752,2.819347072,4.491665532,3.863888889,3.573344067,0.985019103,0.096993422,65.65806328,-0.827894936,2.356496488,2.358251699,2.357800045,0.689458929,7.00704,173.7152127,0.010416667,3.87193362,305.7924231,0.197683333,2.659661601,0.023572238,-0.21335194,33.71666667,0.388888889,1.666666667,0.824967382,0.182691151,-0.394418459,0.363640172,1.653668104,5.788285915,-7.625725367,1.282505579,0.624182388,0.666666667,145.5713769,1
-0.037244268,1,0.659666667,-0.73045154,1.744375,-0.268185129,1.044761019,-0.875837602,0,-15.48526077,-0.563493333,-0.1863884,2.333333333,4.101801483,1,-0.006583706,1.744375,4.101801483,-1.532333333,2.333333333,0.275783423,2.333333333,2.333333333,0.540277778,0,1.431081806,0,0,180.1607113,18.80621913,-0.164414671,0.76,0,3.844980281,0.61029748,10.87490782,0.483585578,0,0,0,0,-0.635802469,0,0.64321635,0.81191176,0,-0.635802469,7.938397584,1,16.14397291,0.032015459,0,-0.178052441,0,25.89206008,0.607407407,0,0.611814644,-0.20809514,0.801666667,0.779,0,0,0,24.54205781,0,-1.463433333,0,4.316697094,0.323947128,-0.075716124,1.215911331,-7.643424038,0.007278238,4.227006173,7.879665013,0.536634846,-1.2171,0,2.666666667,0.049742951,0,0.975623583,0.207333896,0.519814318,0,0,7.149446373,16.72164265,-161.6962841,2.009751753,0,0,0.28320832,0,0.977154585,0.224323915,0.18121352,1.173004735,0.045259954,1.333333333,183.9289151,0.315641142,0.116666666,8.203602967,1.765865505,0.275526554,0,0.214455018,0.077722375,0.017571758,2.111648889,2.666666667,-0.237868481,2.333333333,0,0,0,0,0,1.292781669,0.480541277,0,-14.58113288,1.360532561,-0.243095305,8.078595679,0.341523544,0,-0.003517907,0.53303919,-14.80032827,0.82023213,1.317070739,333334.7337,-71.85582898,-15.41182108,-14.46945503,-2.698080556,-14.58004617,0.709189815,-12.37641724,1.255574874,7.805108283,0.626575532,-1.037428658,1.645679013,3.267195767,0.377777778,-14.38429068,0.379746308,-0.16466511,-0.055452796,-0.009282256,0.741597222,0.102699946,0,3.94367804,-5.710128495,3.730587517,-0.268122098,76.41562198,184.917652,0.053279827,0.410299444,-33.52059014,-0.110818055,8.840192202,0,0,0.635661178,6.381511436,-0.242344466,45.85449736,1.343989936,333334.8858,4.603288785,4.32973251,333335.0588,1.00923699,-0.138159536,67.78091936,-0.915473283,333334.9336,333334.9358,333334.9359,0.757107452,7.465824,168.6964391,-0.149305555,5.530622867,1008.695007,0.197683333,333335.1845,0.063245292,-0.259632072,47.20333333,0.5,2.333333333,1.256040352,0.315508319,-0.394163976,0.479062962,5.454833522,6.035707483,-4.09131318,1.349782673,-0.125095305,1,151.0736644,1
-0.024329955,1,0.548333333,-0.403440541,1.259189815,-0.225207154,0.981157184,-0.586163824,0,-8.223700396,-0.535713333,-0.134159681,1.666666667,4.092216435,1,-0.0033309,1.259189815,4.092216435,-0.845666667,1.666666667,0.319035594,1.666666667,1.666666667,0.406018518,0,1.398763965,0,0,179.3396787,13.33708333,-0.094409646,0.591333333,0,0,0.501022047,8.202783759,-0.13630715,0,0,0,0,0,0,0.56399269,1.067654411,0,0,-7.129211448,1,0,0.031981135,0,-0.225804746,0,20.86006413,0.500925926,0,0.543118583,-0.150648632,0.589666667,0.582333333,0,0,0,22.50188273,0,-1.314966667,0,4.226358467,0.260098233,-0.065503048,1.243067709,-8.797575852,4.66E-05,0,5.956547477,0.396473419,-0.530966667,0,2.666666667,0.030858232,0,0.589912428,0.01347966,0.510881284,0,0,5.919933468,16.23899562,-177.20992,2.033029279,0,0,0.225725475,0,1.009847012,0.244112656,0.016405516,1.237876106,0.045943533,1.333333333,183.9437276,0.319035594,0.077160494,8.184432873,1.807223526,0.265397246,0,0.24253734,0.069564955,-0.006115089,1.650519219,0,-0.634263397,1.666666667,0,0,0,0,0,1.903222434,0.591863083,0,-12.06259653,1.119375588,-0.201581116,8.06625,-0.23596771,0,-0.014448754,0.525071358,-12.79065315,0.642717806,1.242256531,266668.156,-58.79286582,-12.91649124,-12.85301501,-1.976551047,-12.14896457,0.741597222,-6.764210352,1.207492998,5.973386892,0.460912331,-0.771432339,1.133333333,2.985714286,0.444444444,-12.66820323,0.379503003,-0.296382558,-0.116484751,-0.028991678,0.741597222,-0.04009117,0,2.84740334,-7.958868359,7.690977384,-0.202648117,67.71698779,184.917652,0.053245503,0.364393816,-26.71969105,-0.162301368,7.364461042,0,0,0.757291632,5.299697836,-0.208369488,35.2020757,1.685775296,266668.3197,4.456994828,2.458333333,266668.5063,1.026996548,-0.280884228,55.07240001,-0.518420906,266668.3579,266668.3602,266668.3602,0.838194422,7.618752,169.446639,0.15625,3.940969213,1009.832086,0.158216667,266668.6097,0.066012591,-0.376176281,33.71666667,0.5,1.666666667,1.154254957,0.19122241,-0.395910451,0.363640172,5.460982632,5.552625209,-6.5611054,1.250499321,-0.483531021,1,147.9195329,1
-0.031193952,1,0.9435,-0.545354058,2.18448767,-0.258889392,0.975311346,-1.266220363,0,-22.83653678,-0.595235,-0.136574513,3.5,2.347717043,1,-0.006515364,2.18448767,3.081986271,-2.3665,3.5,0.199166368,3.5,3.5,0.542704082,0,1.460219544,0,0,174.5701276,30.28158211,-0.261384248,1.03,0,2.472991461,0.83582196,14.96599697,0.81635414,0,0,0,0,-3.195972222,2.870948096,0.227380014,0.240059799,0,-0.834652778,13.39420058,1,26.37156749,0.004023669,2.870948096,-0.098496648,0,7.061667925,0.6575,0,0.216413997,-0.230894673,1.178,1.1475,0,5.74189619,1,9.187506507,0,-2.25715,0,4.245060333,0.102054528,-0.08391355,1.095662662,-4.274463183,0.005420378,3.024142176,12.23231198,0.805923788,-1.95025,-0.00093586,4,0.005919362,0,0.091500792,0.329889409,0.447444905,0,0,9.821026544,16.98910551,-178.9722759,2.074743008,0,0,0.085336019,-0.035148463,1.028711859,0.058411853,0.14214314,1.131088944,0.014851969,4,178.3670428,0.247261957,0.121031746,21.15697022,1.737703222,0.082436453,-0.001706008,0.064109466,0.077162461,0.013113583,3.094352982,5,-0.264920912,3.5,0,0,0,0,-0.003985865,1.389954234,0.514214591,-0.013648059,-23.11936425,1.916562587,-0.233651056,8.364784108,0.190791085,0,-0.001843064,0.453772436,-21.65071797,1.126357714,1.17736068,3.781812107,-95.91598475,-22.45856425,-22.36334992,-4.047120835,-23.11773417,0.617395834,-19.64984939,1.293866406,12.65519875,0.939863297,-1.556142987,2.496296297,3.025793651,0.393939394,-21.84420829,0.182441963,-0.224184767,-0.054798219,-0.013130639,0.680108419,0.076974896,-0.031886917,3.73808697,-8.086478082,2.523950493,-0.252881053,74.73298399,181.0021181,0.037347798,0.462958631,-39.81316775,0.037397287,12.2182229,0,0,0.518396432,8.878540804,-0.245745748,67.59371183,1.780561473,4.135478034,4.560529277,3.968143739,4.426818657,1.040055586,-0.202688185,75.76740156,-0.806362456,4.177283635,4.180640534,4.180652383,0.678930955,7.890763429,163.8577846,-0.222284108,8.473308001,907.0303083,0.16597,4.55833935,0.03277865,-0.406703239,70.805,0.464285715,3.5,1.465686816,-0.278002194,-0.39423798,0.718594443,5.016087188,5.980270895,1.794717794,1.220259668,-0.111367915,0.875,153.9294847,1
-0.031759857,1,0.7515,-0.550013039,1.830386196,-0.264778079,0.983062203,-1.042811669,0,-17.35165841,-0.58482,-0.141117194,2.75,2.712034078,1,-0.006339623,1.830386196,3.079168692,-1.8625,2.75,0.234251968,2.75,2.75,0.520657596,0,1.454443079,0,0,176.901465,23.24140448,-0.215030512,0.829,0,2.678363336,0.703567114,12.19542196,0.597362907,0,0,0,0,-1.836412037,1.435474048,0.416020033,0.484323221,0,-0.655752315,8.574509589,1,19.23977358,0.015014399,1.435474048,-0.116886816,0,15.19325616,0.61625,0,0.39714764,-0.230278606,0.9395,0.91275,0,2.870948095,0.5,16.31113073,0,-1.874125,0,4.180884203,0.199087375,-0.075768183,1.097357185,-5.031274495,0.005632769,3.097198403,9.668310474,0.647935059,-1.470925,-0.00046793,3.25,0.023292527,0,0.437190305,0.251970462,0.472017186,0,0,8.334670906,16.85881496,-151.1493234,2.119725997,0,0,0.170840458,-0.017574231,1.01604075,0.130057294,0.150625024,1.153124563,0.028555004,2.5,180.8841307,0.273246407,0.11468254,13.65483622,1.783428293,0.167798562,-0.000853004,0.130577364,0.074337274,0.01330956,2.504884301,3.5,-0.286556261,2.75,0,0,0,0,-0.001992932,1.400784155,0.501301708,-0.00682403,-17.19295585,1.596357955,-0.2498236,8.260146684,0.200560834,0,-0.002706251,0.4810094,-16.57987695,0.953756254,1.15649855,125002.7744,-77.81058264,-17.17365577,-16.74885775,-3.235400136,-17.19132578,0.658645834,-14.97529318,1.305849457,9.940227412,0.753492197,-1.256897129,1.915277778,3.032738095,0.38030303,-16.47468929,0.283087718,-0.229574516,-0.062159014,-0.01320595,0.702154904,0.07958567,-0.015943458,3.67136238,-8.131390968,3.019870852,-0.248852185,73.09204995,182.959885,0.047624739,0.412042215,-34.64264379,0.0124525,10.41018386,0,0,0.568532912,7.514909599,-0.259020663,54.04884004,1.715299744,125003.0435,4.515557759,3.873346561,125003.2935,1.029576692,-0.203168756,68.10985208,-0.77194431,125003.1182,125003.1216,125003.1216,0.712355275,7.693089714,165.1370166,-0.131975387,6.607282597,946.4479404,0.16597,125003.4955,0.048945899,-0.395507184,55.6325,0.482142857,2.75,1.419856155,-0.014543328,-0.394241194,0.588743804,5.173731704,5.873213486,0.854872952,1.195459248,-0.130534425,0.9375,151.5486872,1
-0.035454935,1,0.426863451,-0.354837777,1.175840594,-0.277584823,1.076726534,-1.30980855,0,-12.74617828,-0.553764053,-0.167410291,1.565663821,0,1,-0.005693517,1.175840594,0,-1.064693043,1.565663821,0.157629759,1.565663821,1.565663821,0.486180201,0,1.351203812,0,0,171.6368737,12.77919303,-0.216777417,0.726598588,0,2.048337917,0.742491146,11.1230283,0.432900624,0,0,0,0,0,0,0.084014327,0.233391652,0,0,0.374036302,1,4.096675834,0.006071342,0,-0.232788142,0,2.670196939,0.556060638,0,0.119997594,-0.209449432,0.79586359,0.806601495,0,0,0,5.074347395,0,-0.959541176,0,3.978067216,0.116314582,-0.060593238,1.168678952,-8.994706862,0.004406294,2.048337917,6.211526195,0.54075956,-0.618890206,-0.124334028,1.481943533,0.014010113,0,0.127796884,0.204055208,0.46240785,0,0,8.510792559,16.05537646,-296.800878,2.094135932,0,0,0.074496111,-0.065563451,1.017060165,-0.020913891,0.146982081,1.265879928,0.000490295,0,129.2198267,0.201979058,0.030321879,0,1.937391012,0.002946821,-0.002049707,-0.020272947,0.062966116,0.005958209,2.484938812,1.131327641,-0.236961566,1.565663821,0,0,0,0,-0.261619517,0.851469825,0.574384733,-0.040994128,-20.48002545,1.547208427,0.144215409,6.187202922,-0.073384162,0,-0.003042612,0.475503525,-20.67782879,0.914719459,1.170456343,3.087436221,-37.0779689,-20.12329184,-19.81347548,-3.00977978,-21.26333307,0.755472938,-6.268647098,1.393928625,8.598971112,0.694777572,-1.132064845,1.737777336,2.817340643,0.498396731,-20.55556258,0.185177336,-0.147524776,-0.112786182,-0.015864364,0.755472938,0.02990529,-5.23239034,3.028366731,-8.422383634,23.26146805,-0.181230109,70.63004835,131.2901506,0.152783743,0.287376756,-30.18015813,-0.172881024,10.26863712,0,0,0.817619172,7.342276467,0.141484303,38.43621709,1.042071214,4.201579724,4.401918485,2.815336013,4.729554316,1.041410025,-0.14767463,61.50278184,-0.369754708,3.676570345,3.676292736,3.674914852,0.878412782,5.7115367,172.9470387,0.137631744,7.017961261,738.1477433,0.121493084,3.979482825,0.03323587,-0.578826868,42.11553322,0.468574232,2.696991462,0.678370392,-0.828564931,-0.394812765,0.506429463,4.196219627,5.731717931,-7.143137758,1.193411195,-0.115625104,0.886867236,151.6715747,1
-0.02782254,1,0.402240147,-0.448323663,1.065450938,-0.244024254,0.994768678,-0.543947218,0,-6.469093258,-0.520191657,-0.131546023,1.347912064,0,1,-0.004567346,1.065450938,0,-0.767612693,1.347912064,0.097823994,1.347912064,1.347912064,0.422545125,0,1.419505813,0,0,181.6348527,10.5612151,-0.107768937,0.470897777,0,2.22542918,0.425106923,6.319358774,0.100315473,0,0,0,0,0,0,0.191340273,0.187278672,0,0,-1.674434776,1,4.45085836,0.003120248,0,-0.197717393,0,6.113294235,0.499526229,0,0.186288656,-0.1840303,0.494851763,0.476938235,0,0,0,7.870075825,0,-0.956216495,0,3.699243604,0.083204982,-0.060186641,1.146097483,-7.822765206,0.004014613,2.22542918,4.762276331,0.338444089,-0.481663984,0,1.478416077,0.005256636,0,0.080078145,0.080636302,0.523003437,0,0,5.116194474,15.31523732,-109.1729142,2.185319952,0,0,0.068772077,0,0.976028433,0.137533064,0.114661113,1.206018855,0.031047061,0,135.479784,0.271780026,0.071264894,0,1.920198915,0.190607054,0,0.131475487,0.059236649,0.004561394,1.366760703,0.695824127,0.217827988,1.347912064,0,0,0,0,0,0.691854834,0.6818617,0,-5.786952177,0.94569564,-0.054958426,7.908385619,0.023099998,0,0.013861218,0.544136706,-5.881984572,0.559392532,1.147992667,1.960942977,-51.90970395,-5.881552249,-5.745521518,-1.661599955,-5.657861613,0.773591373,-6.306575793,1.267997768,4.662861388,0.389833483,-0.662759912,0.852247793,3.052851962,0.246402679,-5.968069031,0.154833846,-0.06483536,-0.028397503,0.010686402,0.773591373,0.014396367,0,2.349484955,-5.673394665,2.927518864,-0.231387414,66.14643659,72.35753292,0.028082232,0.281953945,-27.52409357,-0.143018603,6.437894046,0,0,0.577433316,4.591619706,-0.071731583,28.5494571,1.004919379,2.669450852,4.311066528,3.086802291,3.026013441,0.999536439,-0.036344004,54.28734871,-0.619192937,2.479618201,2.481218371,2.480253327,0.718288878,5.305098478,172.8900241,0.131760975,3.112016827,358.9660329,0.161300007,2.906447121,0.027671165,-0.276160947,27.26826105,0.442014656,1.347912064,0.861843376,0.150321377,-0.394842636,0.321508914,1.941221019,5.432334722,-5.258050811,1.168030311,0.277161522,0.826043968,143.3655868,1
-0.029334823,1,0.537933234,-0.522143831,1.40081311,-0.235386431,1.006079781,-0.678863697,0,-10.69878892,-0.531770211,-0.143331866,1.854530413,2.628835586,1,-0.005058552,1.40081311,2.628835586,-1.093269647,1.854530413,0.204314302,1.854530413,1.854530413,0.464874853,0,1.421668662,0,0,180.9351834,14.86113072,-0.129259283,0.62439253,0,2.46423944,0.50839343,8.433209555,0.259521882,0,0,0,0,-0.40748441,0,0.466152722,0.573124743,0,-0.40748441,2.799917352,1,10.34663687,0.021397876,0,-0.178838556,0,18.31679771,0.553944875,0,0.444603968,-0.178468936,0.653584411,0.633922715,0,0,0,17.94661848,0,-1.138248723,0,3.873594261,0.2310629,-0.06618676,1.188772307,-7.160101598,0.004690735,2.709078997,6.329346997,0.43534244,-0.815128418,0,1.929583307,0.033361388,0,0.647839817,0.139330883,0.527798364,0,0,5.997525022,16.27549192,-133.6172768,2.058077026,0,0,0.200886515,0,0.981262765,0.158525982,0.120256448,1.171949137,0.032673445,0.854530413,137.9271313,0.229859027,0.083959848,5.257671172,1.828961499,0.197099904,0,0.153411342,0.067276871,0.00662882,1.740198878,1.709060826,-0.209692724,1.854530413,0,0,0,0,0,1.023495085,0.514559206,0,-9.732599753,1.137347911,-0.148191339,7.985820349,0.088848556,0,-0.002665235,0.545399882,-9.789532827,0.680308553,1.252937978,213634.1278,-64.51624194,-10.26406877,-9.672455096,-2.17498353,-9.731258094,0.737365192,-9.471788712,1.225817083,6.230594172,0.506271484,-0.843374675,1.264710537,3.141836448,0.278870697,-9.609644466,0.287008395,-0.154694776,-0.047858055,-0.008736192,0.758135028,0.023628698,0,3.240753204,-5.376908913,3.557099997,-0.248045691,70.43404811,138.9025678,0.042060069,0.34194507,-29.24072671,-0.131365647,7.45319153,0,0,0.637231235,5.369865063,-0.153087055,37.44810169,1.144531167,213634.4356,4.431592708,3.589850101,213634.4806,1.008209662,-0.132663728,58.8097749,-0.745508264,213634.4877,213634.4891,213634.4884,0.758154157,5.621072666,171.0845344,-0.002468392,4.355450214,747.6215763,0.175287162,213634.8329,0.048331081,-0.250014051,37.51715025,0.5,1.854530413,1.048727528,0.249897596,-0.39465357,0.394039567,4.042997346,5.687903274,-5.000978849,1.279445356,-0.10481866,1,147.1990439,1
-0.020521241,1,0.448369523,-0.290150292,1.052622914,-0.208529058,0.957958873,-0.488157381,0,-5.579405541,-0.515032582,-0.103462475,1.381132462,2.339514787,1,-0.003007309,1.052622914,2.339514787,-0.637100065,1.381132462,0.222169708,1.381132462,1.381132462,0.375313921,0,1.405224488,0,0,180.3812975,10.99675791,-0.087041523,0.495844931,0,0,0.431375655,6.474843507,-0.129957391,0,0,0,0,0,0,0.400237221,0.686528429,0,0,-6.900996027,1,0,0.019552338,0,-0.199387551,0,14.41147684,0.483534005,0,0.386249418,-0.146640221,0.504235204,0.493532196,0,0,0,16.06445002,0,-1.031184621,0,3.753847044,0.182530871,-0.058279166,1.18345939,-7.484799274,0.000116506,0,4.979582667,0.33948987,-0.354065348,0,1.842749657,0.01977908,0,0.369813772,0.017640584,0.51964399,0,0,5.152430978,15.96417305,-134.0767653,2.100025494,0,0,0.157011261,0,1.004465683,0.160854029,0.017528651,1.209293105,0.031556627,0.762264924,134.0894538,0.222169708,0.057371712,4.679029576,1.867849251,0.181331728,0,0.16169994,0.060769583,-0.008455696,1.414929129,0,-0.445211212,1.381132462,0,0,0,0,0,1.369393798,0.582234071,0,-7.368139875,0.967782759,-0.120345083,7.983429385,-0.282868837,0,-0.008852864,0.537905421,-7.706429462,0.561154743,1.176014826,152454.6288,-54.51201542,-7.855188065,-7.824670137,-1.675987558,-7.416688564,0.756715905,-5.695045102,1.20581435,4.96225088,0.392250856,-0.662724428,0.891030082,2.934413171,0.307124943,-7.715636605,0.279920359,-0.240382539,-0.084370074,-0.020596529,0.756715905,-0.067738051,0,2.502510739,-7.028184346,5.772839185,-0.205260341,64.18089865,135.13941,0.041859263,0.302276177,-24.35762538,-0.146813182,6.458160669,0,0,0.704188382,4.631978216,-0.131136025,29.8181669,1.372378767,152454.9612,4.312772264,2.371647773,152455.0091,1.019849841,-0.224243995,49.64302609,-0.476262509,152455.0177,152455.0192,152455.0185,0.802792255,5.562350627,171.3454308,0.201375432,3.224774407,723.2834939,0.145839795,152455.3905,0.048991041,-0.335720214,27.94030971,0.5,1.381132462,0.992380759,0.162867864,-0.395704882,0.317885649,3.911381557,5.340335574,-5.849036532,1.18839393,-0.311997953,1,144.7753222,1
-0.028596282,1,0.873650874,-0.518256241,2.023186937,-0.227273047,0.992390533,-1.07572686,0,-20.33225963,-0.552284048,-0.136106753,3.168899385,2.03678482,1,-0.005435712,2.023186937,2.673807252,-1.986027755,3.168899385,0.147454342,3.168899385,3.168899385,0.505698256,0,1.433102982,0,0,176.7987409,27.19080795,-0.212020623,0.975042462,0,2.145467864,0.742174053,13.31888876,0.648025356,0,0,0,0,-2.772696875,2.490719024,0.147712591,0.159764933,0,-0.724111159,11.27346964,1,22.8789106,0.002682694,2.490719024,-0.144834486,0,4.543202629,0.627203718,0,0.139507181,-0.18236353,1.07155616,1.04518991,0,4.981438047,0.867559754,5.932524676,0,-1.823851579,0,4.002198017,0.066990038,-0.080509422,1.181881719,-5.787399358,0.004410251,2.623624043,10.83493141,0.713368699,-1.660354243,-0.000811914,3.267563953,0.00377404,0,0.058643828,0.277053037,0.483567618,0,0,8.631846413,16.52889797,-181.7566571,1.984517529,0,0,0.056223556,-0.030493391,1.004254691,0.037112838,0.108171222,1.133881769,0.009515265,3.470239017,136.3190673,0.18918014,0.096557478,18.35493588,1.748832746,0.052663382,-0.001480063,0.040943497,0.072513968,0.006756569,2.776090361,4.337798771,-0.177224227,3.168899385,0,0,0,0,-0.003457976,1.026692318,0.535280985,-0.011840507,-20.15047981,1.702412717,-0.12697099,8.176676068,0.080912899,0,-0.001221584,0.496205611,-18.7338384,0.98639241,1.28433452,3.282640109,-95.79400655,-19.57700375,-19.54502237,-3.601947208,-20.14912758,0.663641129,-17.65918181,1.209806207,11.00895126,0.834084378,-1.370530384,2.28100304,3.126486052,0.307986787,-19.0584797,0.118180554,-0.149311154,-0.036219214,-0.008829975,0.718048044,0.02290379,-0.027663805,3.382851381,-5.437188111,2.696839978,-0.255136411,73.40573528,138.2910546,0.025128731,0.432075277,-38.27750783,-0.082133521,10.66292155,0,0,0.549330138,7.786146947,-0.136890078,61.20284996,1.284490222,3.729251293,4.513665515,3.772741033,3.855529576,1.026925946,-0.13529707,72.28882511,-0.806999401,3.726873829,3.728348243,3.727637876,0.699553425,6.077145481,168.6112187,-0.162901483,7.62658333,693.9382429,0.175124995,4.078789056,0.02127118,-0.275990217,64.10683457,0.469015723,3.168899385,1.146445612,-0.206450689,-0.394622206,0.623527315,3.849019435,5.881812993,-3.123416778,1.31816147,-0.073967575,0.891555031,151.4733404,1
