RDF20v,HybRatio,MLFER_A,ATSC8c,nT6Ring,minssCH2,RotBtFrac,y
1.079657206,1,0.489,0,0,0.010416667,1,1
1.360532561,1,0.659666667,0,0,-0.149305555,1,1
1.119375588,1,0.548333333,0,0,0.15625,1,1
1.916562587,1,0.9435,-0.013648059,0,-0.222284108,1,1
1.596357955,1,0.7515,-0.00682403,0,-0.131975387,1,1
1.547208427,1,0.426863451,-0.040994128,0,0.137631744,1,1
0.94569564,1,0.402240147,0,0,0.131760975,1,1
1.137347911,1,0.537933234,0,0,-0.002468392,1,1
0.967782759,1,0.448369523,0,0,0.201375432,1,1
1.702412717,1,0.873650874,-0.011840507,0,-0.162901483,1,1
1.432624771,1,0.697486685,-0.00680239,0,-0.058664157,1,1
1.360271279,0.942857143,0.805142857,0,0,-0.035548942,0.785714286,1
0.630953036,0.333333333,0.691,0,0,0.09375,0.777777778,1
1.376745274,0.979166667,0.6733125,0.014756073,0,-0.116157407,0.988636364,1
0.692764469,0.354166667,0.7026875,0.014756073,0,0.111707176,0.780303031,1
1.816261441,1,0.574333333,0.000492978,0,0.207465278,1,1
1.475403303,1,0.403666667,0.000492978,0,0.357928241,1,1
1.771158167,1,0.8155,0.022018109,0,-0.179699074,1,1
0.796734084,1,0.403666667,0.000492978,0,0.3671875,1,1
1.666544992,1,0.830333333,0,0,-0.256959877,1,1
1.588724464,0.919678212,0.206865949,0.000853608,0,0.907613344,0.959839106,0
1.380000823,0.866888925,0.279107835,0.000707309,0,0.812982632,0.933444463,0
1.67645694,1,0.235458535,0.021687183,0,0.468883895,1,0
0.734839469,0.814475797,0.435889415,0,0,0.121288336,0.867482712,0
0.586099766,0.76111718,0.372861184,0,0,0.139779004,0.920372393,0
1.579251011,1,0.680250478,0.018886909,0.427591947,-0.071364844,0.786204026,0
1.363394587,1,0.586909504,0.010881725,0.246357836,-0.006581524,0.876821082,0
1.044510091,0.772428093,0.131042382,0.022191297,0,-0.374230901,0.886214046,0
0.771905588,0.886831145,0.356163875,0,0,0.209860864,0.924554097,0
0.826315937,0.778959639,0.185398199,0,0,-0.086078591,0.88947982,0
1.563424423,1,0.487880871,0.054365071,0,0.187695524,1,0
0.697123873,0.5,0.5135,0,0,0.140625,0.8,0
0.880555027,0.75,0.538,0,0,-0.007523148,0.857142857,0
0.75475143,0.5,0.425,0,0,0.140625,0.75,0
1.535386087,1,0.403666667,0.000492978,0,0.3671875,1,0
1.216127869,0.733333333,0.395,0.000492978,0,0.419656636,0.809523809,0
1.037770195,0.666666667,0.395,0.000492978,0,0.450520833,0.777777778,0
2.500566428,1,0.579,0.099391344,0,0.389973958,1,0
1.498473709,1,0.2115,0.000369734,0,0.410807292,1,0
0.382322759,0.25,0.21725,0,0,-0.091145833,0.25,0
0.949028934,0.8,0.4695,0.004878401,0.5,0.485208334,0.584415585,0
0.820099662,0.5,0.558,0.004878401,0.5,0.508356482,0.527272728,0
0.815260678,0.75,0.4695,0.004878401,0.5,0.508356482,0.560606061,0
1.123168419,0.833333333,0.078,0,0,0.1875,0.925925926,0
0.391429573,0,0.8166,0,0,0,0.666666667,0
1.188472597,1,0.476,0.004878401,0.5,0.445856482,0.727272728,0
0.511507806,0.5,0.131,0,0,0.140625,0.5,0
1.171528319,1,0.277333333,0,0,0.127893518,1,0
0.369326001,0.333333333,0.203333333,0,0,-0.041666667,0.333333333,0
0.839766907,0.333333333,0.459333333,0.014678739,0,-0.213549383,0.333333333,0
0.235371094,0.111111111,-0.005666667,0,0,-0.268518519,0.222222222,0
0.043492175,0,0.0934,0,0,0,0.666666667,0
1.432212381,1,0.500714286,0.012620099,0.285714286,-0.037784391,0.857142857,0
0.680893338,0.333333333,0.324333333,0,0,0.09375,0.777777778,0
2.082896768,1,0.694714286,0.085118541,0.571428571,0.007278642,0.857142857,0
1.345706144,0.75,0.356,0.000739467,0,0.868682485,0.875,0
0.439974397,0.222222222,0.01,0,0,-0.168209877,0.277777778,0
0.284671505,0.222222222,0.176666667,0,0,0,0.266666667,0
