,AATSC2e,RotBtFrac,MLFER_A,AATSC2s,MATS2e,ATSC2s,HybRatio,nHBDon,nHsOH,nHBint2,SsOH,RDF20m,nBondsD,minHBint7,MATS6m,MATS6c,nAtomP,MATS6e,GATS2v,AATSC2m,nAtomLAC,AATSC6e,AATSC6s,maxdO,ATSC2m,minwHBa,MATS5i,MATS3c,ASP-3,MATS5p,AATSC3e,nHBDon_Lipinski,minHCsatu,ATSC8c,RDF20v,minHBa,AATSC3s,ATSC1m,VE3_DzZ,ATSC1s,RotBFrac,MATS1s,AATS0m,AATS6i,PetitjeanNumber,nHBa,BCUTc-1l,SM1_Dzi,RDF20i,nT6Ring,AATS3s,VR2_Dzp,minssCH2,VR2_Dzi
1,0.041622558,0.833333334,0.583,1.394126482,0.213347465,12.16446996,0.5,1.5,0.5,2,4.193125,0.294731419,0.5,0,0.244495581,0.239305646,2,0.106319752,1.03500163,6.557520998,1,0.006716957,0.102324263,4.5,55.90869338,-0.416666667,0.0669196,-0.347123253,0.125,0.09303151,-0.079433438,2.5,0,0,0.72896868,6.318125,-2.400651928,-47.7136336,-8.007123089,-9.845875853,0.166666667,-0.346983449,78.07182859,92.458826,0.5,2,-0.337654775,0.511008564,4.917691968,0,3.8125,375001.732,0.140625,375002.0884
2,0.066990902,0.761904762,0.721857143,2.003323598,0.423972812,17.81124474,0.285714286,1.714285714,0.285714286,2.857142857,2.396071429,0.226320614,0.714285714,0,0.13971176,0.136746083,2.857142857,0.060754144,1.157799685,9.463060474,0.571428571,0.003838261,0.058471007,6.428571429,83.39097536,-0.595238095,0.038239771,-0.535656248,0.071428571,0.053160863,-0.114036429,3.142857143,0,0,0.602948566,5.431785714,-3.350967768,-58.19666148,-10.87323615,-12.31966716,0.095238095,-0.420721939,87.29221326,52.83361486,0.5,2.428571429,-0.313298663,0.559276332,3.644701662,0,4.535714286,535715.2754,0.080357143,535715.4791
3,0.07713824,0.733333334,0.7774,2.247002445,0.508222951,20.06995465,0.2,1.8,0.2,3.2,1.67725,0.198956293,0.8,0,0.097798232,0.095722258,3.2,0.042527901,1.206918906,10.62527627,0.4,0.002686783,0.040929705,7.2,94.38388815,-0.666666666,0.02676784,-0.611069446,0.05,0.037212604,-0.127877625,3.4,0,0,0.552540521,5.07725,-3.731094105,-62.38987264,-12.01968137,-13.30918368,0.066666667,-0.450217335,90.98036713,36.9835304,0.5,2.6,-0.303556218,0.57858344,3.13550554,0,4.825,600000.6928,0.05625,600000.8354
4,0.021891623,0.888888889,0.475,0.920306503,0.04952775,7.772534015,0.666666667,1.333333333,0.666666667,1.333333333,5.590833333,0.347939822,0.333333333,0,0.325994107,0.319074195,1.333333333,0.141759669,0.939492032,4.29765696,1.333333333,0.008955943,0.136432351,3,34.53358517,-0.277777778,0.089226133,-0.200486479,0.166666667,0.124042013,-0.052520001,2,0,0,0.826984323,7.0075,-1.661517385,-39.56016746,-5.777924042,-7.92181595,0.222222222,-0.28963129,70.90041828,123.2784347,0.5,1.666666667,-0.356598418,0.473466966,5.907795539,0,3.25,250002.3093,0.1875,250002.7845
5,0.02911214,0.833333333,0.635,0.753158004,0.2036956,11.09692472,0.666666667,1.666666667,0.333333333,2.666666667,2.795416667,0.345923939,0.666666667,0,0.162997054,0.159537097,2.666666667,0.070879834,0.89216505,4.408101319,0.666666667,0.004477971,0.068216175,6.319444445,64.49299825,-0.330246913,0.083862187,-0.207985642,0.35549886,0.408243474,-0.033604566,2.333333333,0,0,0.851012938,4.239861111,-0.765704744,-42.15042702,-1.125058104,-6.338461923,0.277777778,-0.213786512,76.00312195,61.63921733,0.388888889,2.333333333,-0.318526122,0.548550162,5.690368682,0,3.565476191,2.771440852,0.09375,2.973984907
6,0.015059405,0.866666667,0.469,0.248384439,0.117625017,5.070294785,0.777777778,1.666666667,0.333333333,2.666666667,2.795416667,0.453381081,0.666666667,0,0.650599983,0.206679693,2.666666667,0.325421299,0.79758793,2.361660005,0.666666667,0.029790842,0.531179138,6.638888889,48.41048082,-0.104938271,-0.123916008,-0.015855242,0.315641142,-0.192076528,-0.010402743,1.666666667,0,0,1.085437624,4.371805555,-0.153675359,-28.39442224,-14.6951173,-3.228269086,0.377777778,-0.118938439,70.72305513,184.917652,0.5,2.333333333,-0.325140868,0.548550162,7.690268796,0,3.141666667,333334.9504,0.09375,333335.2027
7,0.015812295,0.866666667,0.389666667,0.529563577,0.125195926,10.97505669,0.777777778,1,0.333333333,1.333333333,2.795416667,0.348433265,0.666666667,0,0.162997054,0.159537097,2.666666667,0.070879834,0.633599365,6.20502537,0.666666667,0.004477971,0.068216175,6.564814815,129.1211535,-0.271604938,0.121409491,-0.059232666,0.305555555,0.400505442,-0.016404343,1.666666667,0,0,0.801610044,3.665787037,-0.302654951,-28.39442224,-1.490645472,-5.374527589,0.244444444,-0.175267283,70.72305513,61.63921733,0.388888889,2.333333333,-0.318344321,0.548550162,5.76136132,0,3.508333333,2.85001589,0.09375,3.094275283
8,0.00381371,0.904761905,0.088333333,0.120473584,0.035350516,3.939183673,0.866666667,0.333333333,0.333333333,0,2.795416667,0.45995393,0.666666667,0,0.597440991,0.235956859,2.666666667,0.274302684,0.516676571,5.368518394,0.666666667,0.019840131,0.335623583,7.129629627,176.8650122,0.012345679,-0.452599872,0.240755574,0.258594475,-0.717360038,0.000518291,0.333333333,0,0,0.992807488,3.813935185,0.050769086,-0.385460157,-0.439841983,-2.721602419,0.301587302,-0.100011051,64.91498162,184.917652,0.5,2.333333333,-0.318657184,0.548550162,7.652108087,0,3.125,250002.0199,0.09375,250002.2805
9,0.012310402,0.833333334,0.357,0.661401859,0.032670774,7.595154111,0.75,1,0.5,0.5,4.193125,0.280817738,0.5,0,0.244495581,0.239305646,1.5,0.106319752,0.914798469,5.485537758,2,0.006716957,0.102324263,4.611111111,63.05056418,-0.166666667,0.0669196,-0.197764344,0.125,0.09303151,-0.056675768,1.5,0.228472222,0,0.685065364,6.429236111,-1.818921818,-37.55436605,-1.173980697,-5.529303491,0.166666667,-0.203697964,69.71061062,92.458826,0.5,1.5,-0.338107086,0.398383771,4.732470174,0,3.6125,3.924147142,0.140625,3.43715143
10,0.022270617,0.777777778,0.389666667,0.890980297,0.136264924,10.46398477,0.666666667,1,0.333333333,0.666666667,2.795416667,0.222971441,0.666666667,0,0.162997054,0.159537097,2,0.070879834,0.970240346,7.388074048,2,0.004477971,0.068216175,6.148148148,86.80629598,-0.222222222,0.044613066,-0.294614815,0.083333333,0.062021006,-0.076003315,1.666666667,0.304629629,0,0.572415281,5.776898148,-2.364146324,-42.32140966,-1.125465613,-6.01450594,0.111111111,-0.213288294,74.09494826,61.63921733,0.5,1.666666667,-0.319314213,0.398383771,3.680626005,0,4.108333333,4.077525897,0.09375,3.190614348
