AATSC2e,RotBtFrac,MLFER_A,AATSC2s,MATS2e,ATSC2s,HybRatio,nHBDon,nHsOH,nHBint2,SsOH,RDF20m,nBondsD,minHBint7,MATS6m,MATS6c,nAtomP,MATS6e,GATS2v,AATSC2m,nAtomLAC,AATSC6e,AATSC6s,maxdO,ATSC2m,minwHBa,MATS5i,MATS3c,ASP-3,MATS5p,AATSC3e,nHBDon_Lipinski,minHCsatu,ATSC8c,RDF20v,minHBa,AATSC3s,ATSC1m,VE3_DzZ,ATSC1s,RotBFrac,MATS1s,AATS0m,AATS6i,RDF20i,nT6Ring,AATS3s,VR2_Dzp,minssCH2,VR2_Dzi,PetitjeanNumber,nHBa,BCUTc-1l,SM1_Dzi,y
-0.038911484,1,0.489,-0.745301628,-0.28581924,-10.64377929,1,1.666666667,1.666666667,0,12.96208333,0.490496653,0,0,0.162997054,0.159537097,0,0.070879834,1.227803165,-10.40512799,2,0.004477971,0.068216175,0,-147.3743369,0,0.207800518,0.193347928,0.416666667,0.287751119,0.017789473,1.666666667,0,0,1.079657206,7.87875,0.341139456,-57.85398936,-10.23632214,-8.197898715,0.333333333,-0.256225657,72.62324109,61.63921733,7.208041277,0,3.863888889,3.573344067,0.010416667,2.659661601,0.388888889,1.666666667,-0.394418459,0.363640172,1
-0.037244268,1,0.659666667,-0.73045154,-0.268185129,-15.48526077,1,2.333333333,2.333333333,0,18.80621913,0.61029748,0,0,0.64321635,0.81191176,0,0.323947128,1.215911331,-7.643424038,2.666666667,0.049742951,0.975623583,0,-161.6962841,0,0.224323915,0.18121352,0.315641142,0.275526554,0.017571758,2.333333333,0,0,1.360532561,8.078595679,0.341523544,-71.85582898,-15.41182108,-12.37641724,0.377777778,-0.268122098,76.41562198,184.917652,8.840192202,0,4.32973251,333335.0588,-0.149305555,333335.1845,0.5,2.333333333,-0.394163976,0.479062962,1
-0.024329955,1,0.548333333,-0.403440541,-0.225207154,-8.223700396,1,1.666666667,1.666666667,0,13.33708333,0.501022047,0,0,0.56399269,1.067654411,0,0.260098233,1.243067709,-8.797575852,2.666666667,0.030858232,0.589912428,0,-177.20992,0,0.244112656,0.016405516,0.319035594,0.265397246,-0.006115089,1.666666667,0,0,1.119375588,8.06625,-0.23596771,-58.79286582,-12.91649124,-6.764210352,0.444444444,-0.202648117,67.71698779,184.917652,7.364461042,0,2.458333333,266668.5063,0.15625,266668.6097,0.5,1.666666667,-0.395910451,0.363640172,1
-0.031193952,1,0.9435,-0.545354058,-0.258889392,-22.83653678,1,3.5,3.5,0,30.28158211,0.83582196,0,2.870948096,0.227380014,0.240059799,0,0.102054528,1.095662662,-4.274463183,4,0.005919362,0.091500792,0,-178.9722759,0,0.058411853,0.14214314,0.247261957,0.082436453,0.013113583,3.5,0,-0.013648059,1.916562587,8.364784108,0.190791085,-95.91598475,-22.45856425,-19.64984939,0.393939394,-0.252881053,74.73298399,181.0021181,12.2182229,0,3.968143739,4.426818657,-0.222284108,4.55833935,0.464285715,3.5,-0.39423798,0.718594443,1
-0.031759857,1,0.7515,-0.550013039,-0.264778079,-17.35165841,1,2.75,2.75,0,23.24140448,0.703567114,0,1.435474048,0.416020033,0.484323221,0,0.199087375,1.097357185,-5.031274495,3.25,0.023292527,0.437190305,0,-151.1493234,0,0.130057294,0.150625024,0.273246407,0.167798562,0.01330956,2.75,0,-0.00682403,1.596357955,8.260146684,0.200560834,-77.81058264,-17.17365577,-14.97529318,0.38030303,-0.248852185,73.09204995,182.959885,10.41018386,0,3.873346561,125003.2935,-0.131975387,125003.4955,0.482142857,2.75,-0.394241194,0.588743804,1
-0.035454935,1,0.426863451,-0.354837777,-0.277584823,-12.74617828,1,1.565663821,1.565663821,0,12.77919303,0.742491146,0,0,0.084014327,0.233391652,0,0.116314582,1.168678952,-8.994706862,1.481943533,0.014010113,0.127796884,0,-296.800878,0,-0.020913891,0.146982081,0.201979058,0.002946821,0.005958209,1.565663821,0,-0.040994128,1.547208427,6.187202922,-0.073384162,-37.0779689,-20.12329184,-6.268647098,0.498396731,-0.181230109,70.63004835,131.2901506,10.26863712,0,2.815336013,4.729554316,0.137631744,3.979482825,0.468574232,2.696991462,-0.394812765,0.506429463,1
-0.02782254,1,0.402240147,-0.448323663,-0.244024254,-6.469093258,1,1.347912064,1.347912064,0,10.5612151,0.425106923,0,0,0.191340273,0.187278672,0,0.083204982,1.146097483,-7.822765206,1.478416077,0.005256636,0.080078145,0,-109.1729142,0,0.137533064,0.114661113,0.271780026,0.190607054,0.004561394,1.347912064,0,0,0.94569564,7.908385619,0.023099998,-51.90970395,-5.881552249,-6.306575793,0.246402679,-0.231387414,66.14643659,72.35753292,6.437894046,0,3.086802291,3.026013441,0.131760975,2.906447121,0.442014656,1.347912064,-0.394842636,0.321508914,1
-0.029334823,1,0.537933234,-0.522143831,-0.235386431,-10.69878892,1,1.854530413,1.854530413,0,14.86113072,0.50839343,0,0,0.466152722,0.573124743,0,0.2310629,1.188772307,-7.160101598,1.929583307,0.033361388,0.647839817,0,-133.6172768,0,0.158525982,0.120256448,0.229859027,0.197099904,0.00662882,1.854530413,0,0,1.137347911,7.985820349,0.088848556,-64.51624194,-10.26406877,-9.471788712,0.278870697,-0.248045691,70.43404811,138.9025678,7.45319153,0,3.589850101,213634.4806,-0.002468392,213634.8329,0.5,1.854530413,-0.39465357,0.394039567,1
-0.020521241,1,0.448369523,-0.290150292,-0.208529058,-5.579405541,1,1.381132462,1.381132462,0,10.99675791,0.431375655,0,0,0.400237221,0.686528429,0,0.182530871,1.18345939,-7.484799274,1.842749657,0.01977908,0.369813772,0,-134.0767653,0,0.160854029,0.017528651,0.222169708,0.181331728,-0.008455696,1.381132462,0,0,0.967782759,7.983429385,-0.282868837,-54.51201542,-7.855188065,-5.695045102,0.307124943,-0.205260341,64.18089865,135.13941,6.458160669,0,2.371647773,152455.0091,0.201375432,152455.3905,0.5,1.381132462,-0.395704882,0.317885649,1
-0.028596282,1,0.873650874,-0.518256241,-0.227273047,-20.33225963,1,3.168899385,3.168899385,0,27.19080795,0.742174053,0,2.490719024,0.147712591,0.159764933,0,0.066990038,1.181881719,-5.787399358,3.267563953,0.00377404,0.058643828,0,-181.7566571,0,0.037112838,0.108171222,0.18918014,0.052663382,0.006756569,3.168899385,0,-0.011840507,1.702412717,8.176676068,0.080912899,-95.79400655,-19.57700375,-17.65918181,0.307986787,-0.255136411,73.40573528,138.2910546,10.66292155,0,3.772741033,3.855529576,-0.162901483,4.078789056,0.469015723,3.168899385,-0.394622206,0.623527315,1
